article_id,title,cluster_description,cluster_id
229609,"Generative Recall, Dense Reranking: Learning Multi-View Semantic IDs for Efficient Text-to-Video Retrieval",Crossmodal and Imagetext Retrieval,367
257570,Conversation Progress Guide : UI System for Enhancing Self-Efficacy in Conversational AI,Conversational AI and Process Automation,375
141709,On the structure of the Schur complement matrix for the Stokes equation,Matrix Eigenproblems and Decompositions,357
189494,Globally Optimal Beamforming Design for Downlink CoMP transmission with Limited Backhaul Capacity,Massive MIMO Beamforming and Precoding,9
147583,Vast TVB parameter space exploration: A Modular Framework for Accelerating the Multi-Scale Simulation of Human Brain Dynamics,Functional Connectivity in Autism Brain Networks,182
125037,Federated Incremental Semantic Segmentation,Weakly Supervised Semantic Segmentation,225
9793,Musical Excellence of Mridangam: an introductory review,Symbolic Music Generation and Representation,52
113337,Toward a new tool to extract the Evidence from a Memory Card of Mobile phones,Cyber Threat Intelligence and Forensics,326
94722,Finding Regions of Counterfactual Explanations via Robust Optimization,Counterfactual Explanation Generation,401
253545,Investigating Centrality Measures in Social Networks with Community Structure,Community Detection in Complex Networks,33
142830,Prediction of multitasking performance post-longitudinal tDCS via EEG-based functional connectivity and machine learning methods,Functional Connectivity in Autism Brain Networks,182
294834,Efficient Training of One Class Classification-SVMs,Support Vector Machines Theory,283
122857,Revisiting DeepFool: generalization and improvement,Adversarial Machine Learning Robustness,6
237560,Discovering the Graph Structure in the Clustering Results,Clustering and Coreset Methods,72
15930,Distributed Power Apportioning with Early Dispatch for Ancillary Services in Renewable Grids,Grid Integration of Renewable Energy Storage,1
62541,Discovering Small Target Sets in Social Networks: A Fast and Effective Algorithm,Social Influence Maximization,258
92072,Strategic Successive Refinement Coding for Bayesian Persuasion with Two Decoders,Lossy Source Coding Theory,276
118193,Hijacking Large Language Models via Adversarial In-Context Learning,Prompt Injection and Safety Alignment,150
278080,Deep Exploration via Randomized Value Functions,Reinforcement Learning Theory and Algorithms,35
254601,Ensemble-based Overlapping Community Detection using Disjoint Community Structures,Community Detection in Complex Networks,33
287932,Linear Span Network for Object Skeleton Detection,Object Detection and Feature Pyramid Networks,180
164277,Field Level Neural Network Emulator for Cosmological N-body Simulations,Cosmological Astroparticle Physics,98
15775,The Heisenberg Defense: Proactively Defending SGX Enclaves against Page-Table-Based Side-Channel Attacks,Trusted Execution Environments and Side-Channel Security,81
46948,Physics-Informed Transfer Learning for Data-Driven Sound Source Reconstruction in Near-Field Acoustic Holography,Acoustic Sound Source Localization,259
103741,Deep Learning Atmospheric Models Reliably Simulate Out-of-Sample Land Heat and Cold Wave Frequencies,Atmospheric Weather and Climate Forecasting,59
49402,Efficient Size Constraint Community Search over Heterogeneous Information Networks,Community Detection in Complex Networks,33
6143,WATCH: Adaptive Monitoring for AI Deployments via Weighted-Conformal Martingales,Conformal Prediction Theory,353
52992,Automated Classification of Overfitting Patches with Statically Extracted Code Features,Program Repair and Bug Fixes,294
54102,Improving Graph Neural Networks at Scale: Combining Approximate PageRank and CoreRank,Graph Neural Networks for Node Analysis,4
261665,Trust-based Secure Routing in Software-defined Vehicular Ad Hoc Networks,MANET routing and ad hoc networks,248
147462,Ensemble Kalman Filters (EnKF) for State Estimation and Prediction of Two-time Scale Nonlinear Systems with Application to Gas Turbine Engines,State Estimation and Filtering Methods,229
183409,Quantum Fully Homomorphic Encryption With Verification,Quantum Cryptography and Key Distribution,44
85972,SoK: DAG-based Consensus Protocols,Blockchain and Smart Contract Transactions,3
10574,Stability of Scattering Decoder For Nonlinear Diffractive Imaging,Inverse Scattering and Ptychography,338
298764,Detecting Adversarial Attacks on Neural Network Policies with Visual Foresight,Adversarial Machine Learning Robustness,6
75924,Sparse Semi-supervised Heterogeneous Interbattery Bayesian Analysis,Bayesian Inference Methods,47
175699,What Is the Best Practice for CNNs Applied to Visual Instance Retrieval?,Visual Feature Retrieval using Bag-of-Words,387
232722,SAMITE: Position Prompted SAM2 with Calibrated Memory for Visual Object Tracking,Visual Object Tracking Techniques,223
234278,ORBIT-Surgical: An Open-Simulation Framework for Learning Surgical Augmented Dexterity,Dexterous Manipulation via Imitation Learning,175
279650,Towards Simulation and Risk Assessment of Weather-Related Cascading Outages,Environmental Quality Monitoring and Forecasting,411
148762,"Learning to Reason with Neural Networks: Generalization, Unseen Data and Boolean Measures",Differential Uniformity of Boolean Functions,418
200800,RAW: A Robust and Agile Plug-and-Play Watermark Framework for AI-Generated Images with Provable Guarantees,Digital Watermarking and Intellectual Property,170
119389,Differentially Private Markov Chain Monte Carlo,Differential Privacy and Protection,17
210275,On the Hidden Biases of Policy Mirror Ascent in Continuous Action Spaces,Reinforcement Learning Theory and Algorithms,35
279912,Performance Analysis for Practical Unmanned Aerial Vehicle Networks with LoS/NLoS Transmissions,UAV Communications and Networking,84
84031,Parallel Tempering for the planted clique problem,Fully Dynamic Graph Algorithms,166
272171,VideoNavQA: Bridging the Gap between Visual and Embodied Question Answering,Vision-Language Navigation and Embodied AI,288
212044,"Balancing AoI and Rate for Mission-Critical and eMBB Coexistence with Puncturing, NOMA,and RSMA in Cellular Uplink",Nonorthogonal Multiple Access Systems,137
163509,Acoustic Disturbance Sensing Level Detection for ASD Diagnosis and Intelligibility Enhancement,Acoustic Sound Event Detection,123
65481,HALO: Learning to Prune Neural Networks with Shrinkage,Network Pruning and Compression Techniques,56
39301,SciSports: Learning football kinematics through two-dimensional tracking data,"Sports, Games, and Athletic Performance Studies",292
80303,Dependency Stochastic Boolean Satisfiability: A Logical Formalism for NEXPTIME Decision Problems with Uncertainty,Computational Satisfiability and Logic,89
183136,The Horcrux Protocol: A Method for Decentralized Biometric-based Self-sovereign Identity,Biometric Authentication and Anti-Spoofing,21
166902,MPC-based Controller with Terrain Insight for Dynamic Legged Locomotion,Bipedal and Quadrupedal Locomotion Control,57
260970,A dissipativity theorem for p-dominant systems,Stability and Control of Nonlinear Systems,26
297090,The optical architecture of a heterogenous quantum network deployed in production facilities,Quantum Networking and Entanglement Distribution,430
81425,Sparse then Prune: Toward Efficient Vision Transformers,Vision Transformers and Self-Attention,92
197101,Convergence Analysis of Max-Min Exponential Neural Network Operators in Orlicz Space,Neural Operators for PDEs,299
83032,A Primer on Near-Field Communications for Next-Generation Multiple Access,Nonorthogonal Multiple Access Systems,137
205794,Sample Efficient Stochastic Variance-Reduced Cubic Regularization Method,Distributed Stochastic Optimization Methods,310
277167,Self-Correcting Bayesian Optimization through Bayesian Active Learning,Multiobjective Bayesian Evolutionary Optimization,10
243343,FM-index of Alignment with Gaps,Suffix Structures and String Matching,100
285218,Approximation and parameterized algorithms for geometric independent set with shrinking,Geometry of Convex Shapes and Polygons,439
132879,Monitoring Neural Training with Topology: A Footprint-Predictable Collapse Index,Topological Data Analysis and Persistence,121
214868,Blockchain and human episodic memory,Blockchain and Smart Contract Transactions,3
215203,GGAvatar: Reconstructing Garment-Separated 3D Gaussian Splatting Avatars from Monocular Video,3D Gaussian Splatting Reconstruction,118
291015,Optimizing RPL Routing Using Tabu Search to Improve Link Stability and Energy Consumption in IoT Networks,MANET routing and ad hoc networks,248
248458,Optimized Blockchain Model for Internet of Things based Healthcare Applications,Blockchain and Smart Contract Transactions,3
64470,ADAptation: Reconstruction-based Unsupervised Active Learning for Breast Ultrasound Diagnosis,Semisupervised Medical Image Segmentation,250
225865,Secure Hypersphere Range Query on Encrypted Data,Searchable Encryption in Cloud Storage,445
260547,Learning Pedestrian Actions to Ensure Safe Autonomous Driving,Pedestrian and Vehicle Trajectory Forecasting,93
154131,Parameterized Low-Rank Binary Matrix Approximation,Low-Rank Matrix Decomposition and Approximation,355
31698,Taking the Scenic Route: Automatic Exploration for Videogames,Procedural Content in Video Games,436
129986,Mispronunciation Detection of Basic Quranic Recitation Rules using Deep Learning,Automatic Speech Recognition Systems,14
142700,Semantic-based End-to-End Learning for Typhoon Intensity Prediction,Atmospheric Weather and Climate Forecasting,59
231031,Understanding Server-Assisted Federated Learning in the Presence of Incomplete Client Participation,Non-IID Federated Learning Systems,19
101362,Reducing Controversy by Connecting Opposing Views,Bounded Confidence Opinion Dynamics,268
87733,Electoral Competition under Best-Worst Voting Rules,Social Choice and Voting Theory,130
218999,Birecurrent sets,Combinatorics of Symbolic Words,403
120691,Empirical analysis of recent temporal dynamics of research fields: Annual publications in chemistry and related areas as an example,Bibliometric Journal Science,25
152032,Few-Shot Classification with Contrastive Learning,Fewshot Meta-Learning Approaches,129
12448,LQG Mean Field Games with a Major Agent: Nash Certainty Equivalence versus Probabilistic Approach,Game Theory and Nash Equilibria,15
19858,Recent Advances in Efficient Computation of Deep Convolutional Neural Networks,Network Pruning and Compression Techniques,56
286264,MTRESS 3.0 -- Modell Template for Residential Energy Supply Systems,Grid Integration of Renewable Energy Storage,1
171136,On Uniquely Closable and Uniquely Typable Skeletons of Lambda Terms,Type Systems and Polymorphism in Programming Languages,336
254617,Kernel k-Groups via Hartigan's Method,Clustering and Coreset Methods,72
198853,Actor-Based Model Checking for SDN Networks,Temporal Logic and Model Checking,300
283323,Sequential Neural Networks for Noetic End-to-End Response Selection,Task-Oriented Dialogue Systems,51
130416,In Search of Metrics to Guide Developer-Based Refactoring Recommendations,Software Code and Technical Debt Smells,451
58331,"Concurrent build direction, part segmentation, and topology optimization for additive manufacturing using neural networks",Computational Materials Potentials,203
252824,Serberus: Protecting Cryptographic Code from Spectres at Compile-Time,Trusted Execution Environments and Side-Channel Security,81
154109,Model soups to increase inference without increasing compute time,Ensemble Methods and Optimization,368
183521,An accelerated proximal gradient method for multiobjective optimization,Multiobjective Bayesian Evolutionary Optimization,10
119530,Percentile Risk-Constrained Budget Pacing for Guaranteed Display Advertising in Online Optimization,Online Convex Optimization and Regret Minimization,216
4451,A Coverage-Aware Distributed k-Connectivity Maintenance Algorithm for Arbitrarily Large k in Mobile Sensor Networks,Wireless Sensor Network Lifetime Modeling,333
1277,Transportation analysis of denoising autoencoders: a novel method for analyzing deep neural networks,Neural Network Optimization and Analysis,11
71967,L2Fuzz: Discovering Bluetooth L2CAP Vulnerabilities Using Stateful Fuzz Testing,Greybox Fuzzing for Rust Security,234
295372,Unsupervised Superpixel Generation using Edge-Sparse Embedding,Superpixel Segmentation and Analysis,486
